timestamp,circulating_supply
2020-01-01,11959.235836460388
2020-01-02,26902.309359262214
2020-01-03,51322.32112756652
2020-01-04,22032.877342847438
2020-01-05,24340.858764178065
2020-01-06,45381.976685916874
2020-01-07,73532.84318951615
2020-01-08,86885.18457704333
2020-01-09,40448.4200963242
2020-01-10,53860.18676338258
2020-01-11,31161.770946267592
2020-01-12,17380.402080794574
2020-01-13,22751.63147623653
2020-01-14,87076.61408465073
2020-01-15,50059.7323540458
2020-01-16,33371.795927120766
2020-01-17,48663.81682168181
2020-01-18,19848.67040322001
2020-01-19,48431.93547093451
2020-01-20,21918.777380898606
2020-01-21,22510.953802018143
2020-01-22,17295.74788918297
2020-01-23,38511.1153511677
2020-01-24,27693.20341968125
2020-01-25,14299.942042061475
2020-01-26,22085.27443134857
2020-01-27,37017.465298114155
2020-01-28,50172.741453603456
2020-01-29,37180.56501273936
2020-01-30,45342.4369575788
2020-01-31,31323.116427234185
2020-02-01,14770.61432476064
2020-02-02,24139.340427993677
2020-02-03,33622.18240578063
2020-02-04,26711.567398751413
2020-02-05,46650.89028260132
2020-02-06,42058.26395779349
2020-02-07,25473.392930112677
2020-02-08,24686.387437173238
2020-02-09,33501.575118775945
2020-02-10,41210.70414880052
2020-02-11,48261.170094153225
2020-02-12,43439.690731382994
2020-02-13,49637.4541155754
2020-02-14,28706.463850229284
2020-02-15,30369.14384534543
2020-02-16,27421.915299062715
2020-02-17,37073.30374708322
2020-02-18,37600.38879166421
2020-02-19,49268.81471044308
2020-02-20,36731.88885604862
2020-02-21,30269.168403132237
2020-02-22,12218.583834291825
2020-02-23,22861.025938647283
2020-02-24,34260.693440022515
2020-02-25,35354.92280204976
2020-02-26,66908.45470972877
2020-02-27,46891.97521623307
2020-02-28,41378.96461409128
2020-02-29,17138.42599629042
2020-03-01,25653.826485663292
2020-03-02,32543.65815707633
2020-03-03,28772.64580614396
2020-03-04,22137.994575884055
2020-03-05,33631.11051569067
2020-03-06,20978.16399083445
2020-03-07,21009.639989802017
2020-03-08,66194.24104983202
2020-03-09,85944.95106490106
2020-03-10,54129.316078209835
2020-03-11,46908.42897867435
2020-03-12,359885.3169513381
2020-03-13,295262.9178635723
2020-03-14,91578.67416925104
2020-03-15,106159.16360588535
2020-03-16,197554.38717740335
2020-03-17,115906.96517762466
2020-03-18,106493.70330644773
2020-03-19,140450.29437434516
2020-03-20,152589.5839869555
2020-03-21,67109.31907389802
2020-03-22,78448.80484373258
2020-03-23,102701.05161658362
2020-03-24,103506.11157971267
2020-03-25,84590.14821315734
2020-03-26,44706.05658372731
2020-03-27,59739.14450084602
2020-03-28,60532.13535407494
2020-03-29,48755.550673217505
2020-03-30,69627.78346042905
2020-03-31,36367.944222952516
2020-04-01,56600.419101900916
2020-04-02,93368.69968931958
2020-04-03,56295.54183175952
2020-04-04,33456.35778765116
2020-04-05,26840.09495933137
2020-04-06,76229.63101281846
2020-04-07,71709.75727653831
2020-04-08,60446.27102480261
2020-04-09,44044.89514774729
2020-04-10,64005.38867358202
2020-04-11,24878.453988326848
2020-04-12,43032.26627623753
2020-04-13,62171.18538858185
2020-04-14,44685.25879141326
2020-04-15,50791.27612926387
2020-04-16,96368.95172006663
2020-04-17,46087.81870708471
2020-04-18,35550.76998027337
2020-04-19,29640.539257635064
2020-04-20,66104.95494888526
2020-04-21,44615.51373209182
2020-04-22,43200.666208388866
2020-04-23,80007.45708448777
2020-04-24,51805.07926689607
2020-04-25,30206.048609233967
2020-04-26,32703.067158355352
2020-04-27,48082.63617428645
2020-04-28,38328.60521473341
2020-04-29,150746.1850981678
2020-04-30,166613.28623477003
2020-05-01,70237.33278741255
2020-05-02,35789.46705028666
2020-05-03,59969.68963163467
2020-05-04,64024.02765251953
2020-05-05,59593.13631495889
2020-05-06,89423.97045404885
2020-05-07,121323.19323135262
2020-05-08,92541.6704811698
2020-05-09,60800.30229228614
2020-05-10,132771.52630837835
2020-05-11,147019.142344157
2020-05-12,65816.50715890617
2020-05-13,66783.93620457979
2020-05-14,95647.38329185893
2020-05-15,85798.70398606482
2020-05-16,37100.188622020905
2020-05-17,52306.67847466951
2020-05-18,62352.36587871925
2020-05-19,60086.7078188585
2020-05-20,62455.63287887312
2020-05-21,88112.273937506
2020-05-22,44190.07629918632
2020-05-23,23711.627717258187
2020-05-24,47342.30531548468
2020-05-25,43390.70783510158
2020-05-26,39903.98351970151
2020-05-27,41443.876509839625
2020-05-28,55389.30135776554
2020-05-29,40306.735567057345
2020-05-30,24232.48954615465
2020-05-31,22447.88163657469
2020-06-01,42626.62163715831
2020-06-02,85364.58750702192
2020-06-03,32713.695009135055
2020-06-04,42735.846084812474
2020-06-05,42241.552954577106
2020-06-06,22869.430549265573
2020-06-07,38415.426006338006
2020-06-08,32568.73706425094
2020-06-09,38530.47541335623
2020-06-10,39932.504223683354
2020-06-11,89293.37349929275
2020-06-12,40607.856943459745
2020-06-13,16518.780701134077
2020-06-14,19425.184383470645
2020-06-15,65343.9558212659
2020-06-16,39758.64701837992
2020-06-17,34378.58761429434
2020-06-18,25190.273665953497
2020-06-19,31761.403057247877
2020-06-20,19495.749434245306
2020-06-21,13287.79403216035
2020-06-22,40609.07771567366
2020-06-23,30778.460782602375
2020-06-24,49668.97255443379
2020-06-25,47119.541177018
2020-06-26,40551.4824946741
2020-06-27,28309.845226120615
2020-06-28,19687.601386563514
2020-06-29,30887.424201622496
2020-06-30,23412.27002770217
2020-07-01,29747.625676894088
2020-07-02,37769.8145158807
2020-07-03,21885.950217615256
2020-07-04,16144.723468093016
2020-07-05,17508.942754673266
